id,geo,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118487200133,"Nepean, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,responsible government provinces history
118487199472,"Guelph, Canada",0,0,0,0,1,1,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
118487183049,"Moncton, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118487141578,"Saint-Felix-de-Valois, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487103690,"Montreal, Canada",0,0,0,0,0,0,0,0,legal translator,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118487048509,"Calgary, Canada",0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,craft / art 
118487041656,"Livorno, Italy",0,0,0,0,0,0,0,1,,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,
118487027559,"Longueuil, Canada",0,1,0,0,0,0,0,0,professor,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487022007,"Blanchard, United States",0,0,0,0,0,0,0,0,editor,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,
118487021809,"Hawkesbury, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487014144,"Puslinch, Canada",0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
118486998541,"Hinchinbrooke, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486969417,"Brockville, Canada",1,0,0,0,1,1,0,0,biographer,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,fur trade
118486861760,"Rome, Italy",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486856961,"Bathurst, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
