0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118487478912,Toronto,Ontario,Canada,43.6638,-79.3999,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118487472452,Ottawa,Ontario,Canada,45.3663,-75.7955,0,0,1,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,
118487471688,Toronto,Ontario,Canada,43.709,-79.4057,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theology
118487448941,Kingston,Ontario,Canada,44.2454,-76.5813,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487426338,Philadelphia,Pennsylvania,United States,39.9514,-75.1638,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118487407742,Fredericton,New Brunswick,Canada,45.902,-66.7057,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487404187,St. Catharines,Ontario,Canada,43.1373,-79.2928,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487403721,St. Catharines,Ontario,Canada,43.1373,-79.2928,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487392246,Black Mountain,North Carolina,United States,35.5986,-82.2902,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487390398,Toronto,Ontario,Canada,43.64,-79.433,1,0,0,0,0,0,0,0,house history researcher,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487383062,Lethbridge,Alberta,Canada,49.6506,-112.8372,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,
118487360070,Montreal,Quebec,Canada,45.6026,-73.5167,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487353197,Hamilton,Ontario,Canada,43.2262,-79.8565,0,0,0,0,0,0,0,0,heritage planner,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487314686,Winnipeg,Manitoba,Canada,49.7834,-97.1036,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487305082,Grand Falls-Windsor,Newfoundland and Labrador,Canada,48.9334,-55.6699,0,0,0,0,0,0,0,0,writer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487293866,La Prairie,Quebec,Canada,45.4169,-73.5006,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118487260102,Dawson City,Yukon,Canada,64.0619,-139.4408,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487206690,Halifax,Nova Scotia,Canada,44.6283,-63.5928,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anthropology
118487200133,Nepean,Ontario,Canada,45.3468,-75.7145,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,responsible government provinces history
118487199472,Guelph,Ontario,Canada,43.5204,-80.2245,0,0,0,0,1,1,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
118487183049,Moncton,New Brunswick,Canada,46.1715,-64.6976,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118487141578,Saint-Felix-de-Valois,Quebec,Canada,46.1695,-73.433,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487103690,,,,,,0,0,0,0,0,0,0,0,legal translator,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118487048509,,,,,,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,craft / art 
118487041656,Livorno,Tuscany,Italy,43.5428,10.3298,0,0,0,0,0,0,0,1,,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,
118487027559,Longueuil,Quebec,Canada,45.4915,-73.3989,0,1,0,0,0,0,0,0,professor,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487022007,Blanchard,Oklahoma,United States,35.1184,-97.6407,0,0,0,0,0,0,0,0,editor,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,
118487021809,Hawkesbury,Ontario,Canada,45.6035,-74.6192,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487014144,Puslinch,Ontario,Canada,43.4363,-80.0943,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
118486998541,Hinchinbrooke,Quebec,Canada,45.0528,-74.1034,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486969417,Brockville,Ontario,Canada,44.6573,-75.7146,1,0,0,0,1,1,0,0,biographer,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,fur trade
118486861760,Rome,Lazio,Italy,41.8904,12.5126,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486856961,Bathurst,New Brunswick,Canada,47.6164,-65.6544,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486848472,Vanløse,Capital Region,Denmark,55.6824,12.4923,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118486810216,Glasgow,Scotland,United Kingdom,55.9402,-4.1605,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486679160,Surrey,British Columbia,Canada,49.035,-122.8269,1,0,0,0,1,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
118486657207,Winston-Salem,North Carolina,United States,36.143,-80.3073,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biblical theology
118486631463,Burlington,Ontario,Canada,43.3802,-79.7626,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486622705,London,Ontario,Canada,43.0147,-81.3049,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486606989,Hamilton,Ontario,Canada,43.256537,-79.836081,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
118486606741,Welland,Ontario,Canada,42.9966,-79.2586,0,0,0,0,1,0,0,0,,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,
118486584388,Coquitlam,British Columbia,Canada,49.2663,-122.8739,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118486583958,Cambridge,Ontario,Canada,43.4389,-80.2649,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486574355,Toronto,Ontario,Canada,43.7806,-79.3503,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486550512,Oakland,New Jersey,United States,41.0304,-74.2331,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118486513211,Toronto,Ontario,Canada,43.6667,-79.3804,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,anthropology
118486501939,Squamish,British Columbia,Canada,49.6979,-123.1552,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,
118486495013,Hamilton,Ontario,Canada,43.2025,-79.9016,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486452013,Fredericton,New Brunswick,Canada,45.8122,-66.6784,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486419757,Campbellford,Ontario,Canada,44.3,-77.8,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
