id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118549702854,Mississauga,Ontario,CA,43.5789,-79.6583,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549696456,Norfolk County,Ontario,CA,42.8334,-80.383,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549691729,Saint John,New Brunswick,CA,45.2708,-66.0562,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118549690470,Red Deer,Alberta,CA,52.2668,-113.802,0,0,1,0,0,0,0,0,rcmp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549684113,Vancouver,British Columbia,CA,49.2497,-123.1193,0,0,0,0,0,0,0,0,retired rcmp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549679894,New York City,New York,US,40.7143,-74.006,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118549677730,Toronto,Ontario,CA,43.7064,-79.3986,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118549677640,Moncton,New Brunswick,CA,46.0945,-64.7965,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549676770,Worcester,Massachusetts,US,42.2626,-71.8023,1,0,0,0,1,0,0,0,,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,
118549668387,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549668197,Covington,Virginia,US,37.7935,-79.9939,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118549662015,Edmonton,Alberta,CA,53.5501,-113.4687,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118549652368,North Cowichan,British Columbia,CA,48.8413,-123.686,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549639068,Peterborough,Ontario,CA,44.3001,-78.3162,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118549638905,Kamloops,British Columbia,CA,50.6665,-120.3192,0,0,0,0,0,0,0,0,retired rcmp member,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549631144,Sault Ste. Marie,Ontario,CA,46.5168,-84.3333,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549630985,Winnipeg,Manitoba,CA,49.8844,-97.147,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549626311,Nepean,Ontario,CA,45.3362,-75.7225,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549614547,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549606007,Nepean,Ontario,CA,45.3362,-75.7225,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118549602762,Toronto,Ontario,CA,43.6075,-79.5013,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549602101,Orillia,Ontario,CA,44.6087,-79.4207,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,
118549586106,West Kelowna,British Columbia,CA,49.8625,-119.5833,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118549581673,London,Ontario,CA,42.9834,-81.233,1,0,0,0,1,1,0,0,,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,
118549580813,Milton,Ontario,CA,43.5168,-79.8829,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
